Figure, Résultat, Temps (s)
B0, Inconnu, 0
B16, Inconnu, 0
B17, Inconnu, 0
B18, Inconnu, 0
B19, Inconnu, 0
B35, Inconnu, 0
B45, Inconnu, 0
B46, Inconnu, 0
B64, Inconnu, 0
B9, Inconnu, 0
T_shape, Inconnu, 0
U_shape, Inconnu, 0
XXYZ, Inconnu, 0
XYZ, Inconnu, 0
block_cross_3D, Inconnu, 0
cross_3D, Inconnu, 0
cube, Inconnu, 0
cube_minus_corner, Inconnu, 0
cube_minus_cyl_edge, Inconnu, 0
cube_minus_edge, Inconnu, 0
cube_minus_opp_edges, Inconnu, 0
cube_minus_two_edges, Inconnu, 0
cube_without_two_cubes, Inconnu, 0
curved_shape_1, Inconnu, 0
curved_shape_2, Inconnu, 0
cylinder_quart, Inconnu, 0
encoches, Inconnu, 0
hole, Inconnu, 0
polycube, Inconnu, 0
polycubeRefine, Inconnu, 0
quarter_hollow_sphere, Inconnu, 0
teeth, Inconnu, 0
